1520021490-1,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/5880to6400url.html,http://www.nytimes.com/2009/05/22/movies/22virt.html,http://www.nytimes.com/2009/05/22/movies/22virt.html,"â€œEasy Virtue,â€ù Stephan Elliottâ€™s carbonated screen adaptation of an early NoÃ«l Coward play, is so intent on sustaining a facade of fizzy effervescence that it incorporates bouncy period-style versions of songs by Coward and Cole Porter as a peppy running soundtrack. One character, John Whittaker (Ben Barnes), a dewy English upper-class twit who brings his glamorous, somewhat older new American wife, Larita (Jessica Biel), home to meet his poisonous family, is so enamored of the songs that snippets of the lyrics seep into his dialogue.",,,,,
1520021490-10,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/5880to6400url.html,http://www.nytimes.com/2009/05/22/movies/22virt.html,http://www.nytimes.com/2009/05/22/movies/22virt.html,"If Coward, later in his career, became an eloquent defender of all things English, â€œEasy Virtueâ€ù suggests that the ardent patriotism that took hold in the â€™30s and â€™40s had yet to assert itself.  The free-spirited Larita â€”  and by implication, America itself â€”  represents the brave new future; the Whittakers and all they stand for might as well be extinct.",,,,,
1520021490-11,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/5880to6400url.html,http://www.nytimes.com/2009/05/22/movies/22virt.html,http://www.nytimes.com/2009/05/22/movies/22virt.html,â€œEasy Virtueâ€ù is rated  PG-13 (Parents strongly cautioned). It has sexual situations.,,,,,
1520021490-12,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/5880to6400url.html,http://www.nytimes.com/2009/05/22/movies/22virt.html,http://www.nytimes.com/2009/05/22/movies/22virt.html,EASY VIRTUE,,,,,
1520021490-13,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/5880to6400url.html,http://www.nytimes.com/2009/05/22/movies/22virt.html,http://www.nytimes.com/2009/05/22/movies/22virt.html,Opens on Friday in Manhattan.,,,,,
1520021490-14,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/5880to6400url.html,http://www.nytimes.com/2009/05/22/movies/22virt.html,http://www.nytimes.com/2009/05/22/movies/22virt.html,"Directed by Stephan Elliott; written by Mr. Elliott and Sheridan Jobbins, based on the play by NoÃ«l Coward; director of photography, Martin Kenzie; edited by Sue Blainey; music by Marius de Vries; production designer, John Beard; produced by Barnaby Thompson, Joe Abrams and James D. Stern; released by Sony Pictures Classics. Running time: 1 hour 37 minutes.",,,,,
1520021490-15,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/5880to6400url.html,http://www.nytimes.com/2009/05/22/movies/22virt.html,http://www.nytimes.com/2009/05/22/movies/22virt.html,"WITH: Jessica Biel (Larita), Colin Firth (Mr. Whittaker), Kristin Scott Thomas (Mrs. Whittaker), Ben Barnes (John), Kris Marshall (Furber), Kimberley Nixon (Hilda), Katherine Parkinson (Marion), Pip Torrens (Lord Hurst), Christian Brassington (Philip) and Charlotte Riley (Sarah).",,,,,
1520021490-2,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/5880to6400url.html,http://www.nytimes.com/2009/05/22/movies/22virt.html,http://www.nytimes.com/2009/05/22/movies/22virt.html,"It may be a cute device that works for a while, but Mr. Elliott, who wrote the screenplay with Sheridan Jobbins, overuses it in a movie whose breathless, hyperkinetic style harks back to his 1994 comedy, â€œThe Adventures of Priscilla, Queen of the Desert.â€ù (Since then Mr. Elliott has directed only two features, â€œWelcome to Woop Woopâ€ù and â€œEye of the Beholder.â€ù)",,,,,
1520021490-3,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/5880to6400url.html,http://www.nytimes.com/2009/05/22/movies/22virt.html,http://www.nytimes.com/2009/05/22/movies/22virt.html,"This movieâ€™s insistent jazz-age lilt is ultimately at odds with a play written in 1924  that attacks the hypocrisy, smugness and benighted values of the English landed gentry between the wars. The screenplay includes scattered Coward bons mots, but the witticisms donâ€™t come as thick or as fast as in his later plays.",,,,,
1520021490-4,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/5880to6400url.html,http://www.nytimes.com/2009/05/22/movies/22virt.html,http://www.nytimes.com/2009/05/22/movies/22virt.html,"â€œEasy Virtueâ€ù follows the travails of Larita, a brash, beautiful, widowed race-car driver from Detroit whom John meets in Monaco and impulsively marries.  Johnâ€™s mother, Veronica (Kristin Scott Thomas), is predisposed to loathe her new daughter-in-law. And from the moment Larita steps out of Johnâ€™s BMW roadster onto the Whittaker estate, she campaigns for Laritaâ€™s undoing.",,,,,
