1520029131-10114,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/1680to2500url.html,http://www.nytimes.com/2014/11/07/movies/21-years-richard-linklater-a-documentary.html,http://www.nytimes.com/2014/11/07/movies/21-years-richard-linklater-a-documentary.html,21 YEARS,,,,,,,,,
1520029131-10117,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/1680to2500url.html,http://www.nytimes.com/2014/11/07/movies/21-years-richard-linklater-a-documentary.html,http://www.nytimes.com/2014/11/07/movies/21-years-richard-linklater-a-documentary.html,Directed by Michael Dunaway and Tara Wood,,,,,,,,,
1520029131-10119,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/1680to2500url.html,http://www.nytimes.com/2014/11/07/movies/21-years-richard-linklater-a-documentary.html,http://www.nytimes.com/2014/11/07/movies/21-years-richard-linklater-a-documentary.html,"Variety recently published a headline wondering whether Richard Linklater‰Ûªs indie hit ‰ÛÏBoyhood‰Ûù would be remembered at Oscar time. If you judge by the encomiums for this director in the documentary ‰ÛÏ21 Years: Richard Linklater,‰Ûù it should. (The title comes from the notion that an artist‰Ûªs career can be summarized within its first 21 years.)",,,,,,,,,
1520029131-10121,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/1680to2500url.html,http://www.nytimes.com/2014/11/07/movies/21-years-richard-linklater-a-documentary.html,http://www.nytimes.com/2014/11/07/movies/21-years-richard-linklater-a-documentary.html,"Mr. Linklater‰Ûªs frequent alter ego Ethan Hawke, a fan of the director‰Ûªs since his debut feature, ‰ÛÏSlacker,‰Ûù is particularly eloquent. Mr. Hawke and Julie Delpy share undisguised enthusiasm for their experience on the ‰ÛÏBefore‰Ûù pictures: ‰ÛÏBefore Sunrise,‰Ûù ‰ÛÏBefore Sunset‰Ûù and ‰ÛÏBefore Midnight,‰Ûù for which the three shared an Oscar nomination for best adapted screenplay, as they did (with Kim Krizan) for ‰ÛÏSunset.‰Ûù That series represented Mr. Linklater‰Ûªs first years-long explorations of real-time chronology, experiments that reached their apex with ‰ÛÏBoyhood‰Ûù (here cryptically referred to only as ‰ÛÏThe 12-Year Project‰Ûù).",,,,,,,,,
1520029131-10120,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/1680to2500url.html,http://www.nytimes.com/2014/11/07/movies/21-years-richard-linklater-a-documentary.html,http://www.nytimes.com/2014/11/07/movies/21-years-richard-linklater-a-documentary.html,"Present are stars from his movies, including Jack Black (from Mr. Linklater‰Ûªs biggest hit, ‰ÛÏSchool of Rock‰Ûù); Keanu Reeves (‰ÛÏA Scanner Darkly‰Ûù); and Matthew McConaughey (‰ÛÏDazed and Confused,‰Ûù which kicked off Mr. McConaughey‰Ûªs career, as well as those of Ben Affleck, Parker Posey, the actor Anthony Rapp and many others). Directors, including an admiring Jason Reitman, also weigh in. Many attest to Mr. Linklater‰Ûªs gift for blending the seemingly mundane with humor, rich dialogue and a persistent philosophical curiosity. (Maddeningly missing is Mr. Linklater himself.)",,,,,,,,,
1520029131-10118,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/1680to2500url.html,http://www.nytimes.com/2014/11/07/movies/21-years-richard-linklater-a-documentary.html,http://www.nytimes.com/2014/11/07/movies/21-years-richard-linklater-a-documentary.html,1 hour 19 minutes; not rated,,,,,,,,,
1520029131-10115,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/1680to2500url.html,http://www.nytimes.com/2014/11/07/movies/21-years-richard-linklater-a-documentary.html,http://www.nytimes.com/2014/11/07/movies/21-years-richard-linklater-a-documentary.html,Richard Linklater,,,,,,,,,
1520029131-10122,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/1680to2500url.html,http://www.nytimes.com/2014/11/07/movies/21-years-richard-linklater-a-documentary.html,http://www.nytimes.com/2014/11/07/movies/21-years-richard-linklater-a-documentary.html,"The luminaries in ‰ÛÏ21‰Ûù pay deserving tribute to Mr. Linklater. Soon, perhaps, so will the Academy.",,,,,,,,,
1520029131-10116,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/1680to2500url.html,http://www.nytimes.com/2014/11/07/movies/21-years-richard-linklater-a-documentary.html,http://www.nytimes.com/2014/11/07/movies/21-years-richard-linklater-a-documentary.html,Opens on Friday,,,,,,,,,
1520029113-10063,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/1680to2500url.html,http://www.nytimes.com/2014/11/07/movies/open-windows-stars-elijah-wood-as-a.html,http://www.nytimes.com/2014/11/07/movies/open-windows-stars-elijah-wood-as-a.html,"Once he‰Ûªs hooked, however, Nick and his monitor rapidly become the patsies of this unseen psycho and his elaborate plans, as well as the focus of some masked French hackers who may want to help or may just want to practice their English. I really have no idea.",,,,,,,,,
1520029113-10062,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/1680to2500url.html,http://www.nytimes.com/2014/11/07/movies/open-windows-stars-elijah-wood-as-a.html,http://www.nytimes.com/2014/11/07/movies/open-windows-stars-elijah-wood-as-a.html,"Before then, the plot is simplicity itself, as Nick (Elijah Wood), an entertainment blogger, is contacted online by a creepy British stranger who offers him the chance to spy on his favorite starlet (Sasha Grey) through her computer and phone cameras.",,,,,,,,,
