1520026602-4537,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/840to1660url.html,http://www.nytimes.com/2015/11/27/movies/review-in-janis-little-girl-blue-exploring-joplins-demons.html,http://www.nytimes.com/2015/11/27/movies/review-in-janis-little-girl-blue-exploring-joplins-demons.html,Š—“Janis: Little Girl BlueŠ— is not rated. Running time: 1 hour 43 minutes.
1520026602-4535,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/840to1660url.html,http://www.nytimes.com/2015/11/27/movies/review-in-janis-little-girl-blue-exploring-joplins-demons.html,http://www.nytimes.com/2015/11/27/movies/review-in-janis-little-girl-blue-exploring-joplins-demons.html,"Once Joplin left Big Brother she found it difficult to lead her own band. But with the support of Paul Rothchild, who produced Š—“Pearl,Š— she grew as an artist. That album, which yielded her biggest hit, Š—“Me and Bobby McGee,Š— suggested her potential to become a rock equivalent of Billie Holiday."
1520026602-4531,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/840to1660url.html,http://www.nytimes.com/2015/11/27/movies/review-in-janis-little-girl-blue-exploring-joplins-demons.html,http://www.nytimes.com/2015/11/27/movies/review-in-janis-little-girl-blue-exploring-joplins-demons.html,"In the movie, JoplinŠ—Ès letters to friends, lovers and her cautiously supportive but disapproving parents are plaintive and direct. Read aloud by the singer-songwriter Chan Marshall, a.k.a. Cat Power, in a gentler voice than JoplinŠ—Ès scratchy yowl, they reveal a forthright honesty, emotional openness and fierce intelligence. Her younger siblings, Laura and Michael, offer wistful, caring remembrances."
1520026602-4536,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/840to1660url.html,http://www.nytimes.com/2015/11/27/movies/review-in-janis-little-girl-blue-exploring-joplins-demons.html,http://www.nytimes.com/2015/11/27/movies/review-in-janis-little-girl-blue-exploring-joplins-demons.html,"The end came just when she had begun to exert more self-control and her use of heroin had diminished. In a moment of weakness, those beady-eyed demons caught up with her."
1520026602-4534,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/840to1660url.html,http://www.nytimes.com/2015/11/27/movies/review-in-janis-little-girl-blue-exploring-joplins-demons.html,http://www.nytimes.com/2015/11/27/movies/review-in-janis-little-girl-blue-exploring-joplins-demons.html,"Her stardom was no accident. She was ambitious. Her initial idol was Bob Dylan. But she absorbed the influences of Odetta, Bessie Smith, Otis Redding and Aretha Franklin. Her outspoken advocacy of black civil rights didnŠ—Èt sit well in Port Arthur, where virulent racism was rampant."
1520026602-4527,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/840to1660url.html,http://www.nytimes.com/2015/11/27/movies/review-in-janis-little-girl-blue-exploring-joplins-demons.html,http://www.nytimes.com/2015/11/27/movies/review-in-janis-little-girl-blue-exploring-joplins-demons.html,"But Joplin, who died of a heroin overdose the previous year at 27, wasnŠ—Èt an infant. She had a womanŠ—Ès voice. More than any rock star of her generation she fearlessly vented the emotions of her needy inner girl-child. The film sustains a double vision of both the child and the hard-living folk-blues mama Joplin became."
1520026602-4528,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/840to1660url.html,http://www.nytimes.com/2015/11/27/movies/review-in-janis-little-girl-blue-exploring-joplins-demons.html,http://www.nytimes.com/2015/11/27/movies/review-in-janis-little-girl-blue-exploring-joplins-demons.html,"Although Ms. BergŠ—Ès enthralling film tells a story somewhat similar to Š—“Amy,Š— Asif KapadiaŠ—Ès recent documentary portrait of Amy Winehouse (who also died at 27), the demons that devoured Winehouse came from outside as much from within. Not so with Joplin."
1520026602-4532,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/840to1660url.html,http://www.nytimes.com/2015/11/27/movies/review-in-janis-little-girl-blue-exploring-joplins-demons.html,http://www.nytimes.com/2015/11/27/movies/review-in-janis-little-girl-blue-exploring-joplins-demons.html,Her romantic relationships with both men and women didnŠ—Èt end well. Particularly hurtful was her abandonment by a San Francisco drug dealer after he had asked her fatherŠ—Ès permission to marry her.
1520026602-4533,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/840to1660url.html,http://www.nytimes.com/2015/11/27/movies/review-in-janis-little-girl-blue-exploring-joplins-demons.html,http://www.nytimes.com/2015/11/27/movies/review-in-janis-little-girl-blue-exploring-joplins-demons.html,"San Francisco in its hippie heyday was her salvation and her destruction. She became the voice of the blues-rock band Big Brother and the Holding Company and a sensation at the 1967 Monterey Pop Festival, singing Š—“Ball and Chain.Š— The film includes the famous shot of Mama Cass in the audience marveling at JoplinŠ—Ès talent."
1520026602-4526,http://sis-teach-01.sis.pitt.edu/spring2018/jid17/840to1660url.html,http://www.nytimes.com/2015/11/27/movies/review-in-janis-little-girl-blue-exploring-joplins-demons.html,http://www.nytimes.com/2015/11/27/movies/review-in-janis-little-girl-blue-exploring-joplins-demons.html,"In Amy BergŠ—Ès documentary Š—“Janis: Little Girl Blue,Š— the sound that erupts from Janis Joplin singing the Š—È60s R&B classic Š—“Cry BabyŠ— comes as close as IŠ—Ève heard to a grown-up singer capturing a babyŠ—Ès primal squall. Heard today, this raw, insistent scream, from JoplinŠ—Ès posthumously released 1971 album, Š—“Pearl,Š— is as disturbing and powerful as ever."
